2021-08-28 07:35:51,292 [Worker-Main7] INFO Treasure2 | TreasureLootTableRegistry.java:121 | reading loot resource file from stream.
2021-08-28 07:35:51,300 [Worker-Main7] INFO Treasure2 | TreasureLootTableRegistry.java:142 | master loot resources lists -> DecayResources [supportingResources=[pools/armor/common.json, pools/armor/uncommon.json, pools/armor/scarce.json, pools/armor/rare.json, pools/armor/epic.json, pools/food/common.json, pools/food/uncommon.json, pools/food/scarce.json, pools/food/rare.json, pools/food/epic.json, pools/items/common.json, pools/items/uncommon.json, pools/items/scarce.json, pools/items/rare.json, pools/items/epic.json, pools/potions/common.json, pools/potions/uncommon.json, pools/potions/scarce.json, pools/potions/rare.json, pools/potions/epic.json, pools/tools/common.json, pools/tools/uncommon.json, pools/tools/scarce.json, pools/tools/rare.json, pools/treasure/common.json, pools/treasure/uncommon.json, pools/treasure/scarce.json, pools/treasure/rare.json, pools/treasure/epic.json], chestResources=[chests/common/general_chest.json, chests/uncommon/general_chest.json, chests/scarce/general_chest.json, chests/rare/general_chest.json, chests/epic/general_chest.json], specialResources=[chests/special/black_pearl_well.json, chests/special/cauldron_chest.json, chests/special/crystal_skull_chest.json, chests/special/gold_skull_chest.json, chests/special/skull_chest.json, chests/special/white_pearl_well.json, chests/special/wither_chest.json], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=null]
2021-08-28 07:35:51,310 [Worker-Main7] INFO Treasure2 | ITreasureResourceRegistry.java:32 | reading resources file from stream.
2021-08-28 07:35:51,311 [Worker-Main7] INFO Treasure2 | ITreasureResourceRegistry.java:53 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/test-platform.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/wither-chamber1.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
2021-08-28 07:35:51,319 [Worker-Main7] INFO Treasure2 | ITreasureResourceRegistry.java:32 | reading resources file from stream.
2021-08-28 07:35:51,319 [Worker-Main7] INFO Treasure2 | ITreasureResourceRegistry.java:53 | resources -> TemplateResources [resources=[submerged/dingy1.nbt, submerged/sunken-ship1.nbt, submerged/sunken-ship2.nbt, submerged/sunken-ship3.nbt, submerged/underwater-ruins1.nbt, submerged/underwater-ruins2.nbt, submerged/underwater-ruins3.nbt, subterranean/basic1.nbt, subterranean/basic2.nbt, subterranean/basic3.nbt, subterranean/basic4.nbt, subterranean/basic5.nbt, subterranean/cave1.nbt, subterranean/cave2.nbt, subterranean/cobb1.nbt, subterranean/crypt1.nbt, subterranean/ionic1.nbt, subterranean/iron-chamber1.nbt, subterranean/iron-chamber2.nbt, subterranean/mine1.nbt, subterranean/obsidian-chamber1.nbt, subterranean/pirate-chamber1.nbt, subterranean/pirate-chamber2.nbt, subterranean/wither-chamber1.nbt, surface/beached-ship1.nbt, surface/beached-ship2.nbt, surface/beached-ship3.nbt, surface/blacksmith1.nbt, surface/castle1.nbt, surface/church1.nbt, surface/crypt2.nbt, surface/crypt3.nbt, surface/desert-tower2.nbt, surface/fortress1.nbt, surface/house1.nbt, surface/large-tower1.nbt, surface/tower1.nbt, surface/tower2.nbt, surface/tower3.nbt, surface/tower4.nbt, surface/tower5.nbt, surface/test-platform.nbt, wells/canopy-wishing-well1.nbt, wells/desert-wishing-well1.nbt, wells/desert-wishing-well2.nbt, wells/simple-well1.nbt, wells/wood-draw-wishing-well1.nbt], resourceFolderLocations=[submerged, subterranean, surface, wells]]
2021-08-28 07:35:51,334 [Worker-Main7] INFO Treasure2 | ITreasureResourceRegistry.java:32 | reading resources file from stream.
2021-08-28 07:35:51,334 [Worker-Main7] INFO Treasure2 | ITreasureResourceRegistry.java:53 | resources -> DecayResources [resources=[aged_ruleset.json, default_ruleset.json, ruinous_ruleset.json], resourceFolderLocations=[]]
2021-08-28 07:35:55,065 [Worker-Main7] INFO Treasure2 | Treasure.java:96 | in client setup event
2021-08-28 07:37:47,286 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:overworld
2021-08-28 07:37:49,178 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:the_nether
